kw,page,pages_num,clicks_cur,imp_cur,pos_cur,cpc,vol,clicks_prev,imp_prev,pos_prev,opportunity_score,value,potential_traffic_cur,potential_traffic_prev,potential_traffic_value_cur,potential_traffic_value_prev,traffic_value,avg_pos_cur,position_delta,impressions_delta,clicks_delta,is_watchlisted,last_seen_at
kids schools near me,https://chromaela.com/service-areas-marietta-west-ga,1,0,2,14,0,0,0,0,0,4.58,0,2,0,0,0,0,14,-14,2,0,FALSE,2025-11-20
kids academy near me,https://chromaela.com/service-areas-tyrone-ga,1,0,2,16,0,0,0,1,68,4.58,0,2,1,0,0,0,16.5,52,1,0,FALSE,2025-10-30
childcare mcdonough ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,20,18,5.7,1000,0,5,3,60.69,0,20,5,114,29,5710,12.61,-15,15,0,FALSE,2025-11-23
west cobb georgia,,0,0,0,0,0,1000,0,1,86,0,0,0,1,0,0,0,0,86,-1,0,FALSE,2025-10-23
child care center 30047,https://chromaela.com/service-areas-lilburn-ga,4,0,9,8,0,0,0,13,20,14.53,0,9,13,0,0,0,21.08,12,-4,0,FALSE,2025-11-23
child care daycare,https://chromaela.com/service-areas-jonesboro-ga,1,0,2,9,0,0,0,0,0,4.58,0,2,0,0,0,0,9,-9,2,0,FALSE,2025-11-19
georgia prek near me,https://chromaela.com/,2,0,2,14,0,0,0,0,0,4.58,0,2,0,0,0,0,23,-14,2,0,FALSE,2025-11-14
preschools canton ga,,0,0,0,0,0,0,0,3,60,0,0,0,3,0,0,0,0,60,-3,0,FALSE,2025-10-08
sensorimotor stage 4,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,62,0,0,0,0,0,0,0,1,0,0,0,0,62,-62,1,0,FALSE,2025-11-23
day care within 5 mi,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,3,-3,1,0,FALSE,2025-11-22
pre-k schools near me,,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,8,-1,0,FALSE,2025-10-07
daycare around me,https://chromaela.com/service-areas-marietta-west-ga,1,0,2,5,0,0,0,0,0,4.58,0,2,0,0,0,0,43.5,-5,2,0,FALSE,2025-11-07
primer school locations,https://chromaela.com/service-areas-southcobb-ga,1,0,1,3,0,0,0,1,3,4.58,0,1,1,0,0,0,3,0,0,0,FALSE,2025-10-27
kiddie kollege east cobb,https://chromaela.com/service-areas-marietta-east-ga,1,0,1,63,4.9,30,0,0,0,23.57,0,1,0,5,0,147,63,-63,1,0,FALSE,2025-11-03
discovery point daycare,https://chromaela.com/service-areas-satellite-ga,1,0,1,17,3.4,1000,0,0,0,38.45,0,1,0,3,0,3420,17,-17,1,0,FALSE,2025-11-12
kids care near me,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,6,-6,1,0,FALSE,2025-10-30
lawrenceville daycares,,0,0,0,0,0,0,0,1,26,0,0,0,1,0,0,0,0,26,-1,0,FALSE,2025-10-06
daycare austell ga,https://chromaela.com/service-areas-southcobb-ga,1,0,5,10,8.5,210,0,0,0,46,0,5,0,42,0,1777,15.5,-10,5,0,FALSE,2025-11-11
parks near me for babies,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-west-cobb-for-your-babys-first-outings,2,0,2,2,0,0,2,2,2,4.58,0,2,0,0,0,0,3,0,0,-2,FALSE,2025-11-09
2 year old toys girls,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,3,-3,1,0,FALSE,2025-11-22
daycare fairburn ga,https://chromaela.com/service-areas-tyrone-ga,1,0,1,18,6.8,210,0,1,41,34.29,0,1,1,7,7,1420,18,23,0,0,FALSE,2025-10-31
cherokee learning center,,0,0,0,0,0,30,0,1,6,0,0,0,1,0,0,0,0,6,-1,0,FALSE,2025-10-13
preschool in jonesboro,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,27,0,0,0,6,97,0,0,1,6,0,0,0,27,70,-5,0,FALSE,2025-11-11
childcare johns creek,,0,0,0,0,9.6,210,0,9,1,0,0,0,9,0,86,2014,0,1,-9,0,FALSE,2025-10-20
apple academy daycare,https://chromaela.com/service-areas-pleasanthill-ga,1,0,2,2,0,50,0,1,1,4.58,0,2,1,0,0,0,2,-1,1,0,FALSE,2025-11-01
quality rated child care,https://chromaela.com/service-areas-jonesboro-ga,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,1,1,FALSE,2025-11-13
cheap daycare near me,,0,0,0,0,3.7,6600,1,1,3,0,0,0,0,0,0,24552,0,3,-1,-1,FALSE,2025-10-16
little creations academy,,0,0,0,0,5.1,170,0,1,4,0,0,0,1,0,5,864,0,4,-1,0,FALSE,2025-09-26
learning care group,,0,0,0,0,2.9,6600,0,1,6,0,0,0,1,0,3,19140,0,6,-1,0,FALSE,2025-10-08
playground roswell ga,,0,0,0,0,0,20,0,4,8,0,0,0,4,0,0,0,0,8,-4,0,FALSE,2025-09-28
roswell preschools,https://chromaela.com/service-areas-roswell-ga,1,0,1,18,6.5,260,0,2,11,35.13,0,1,2,7,13,1695,18,-7,-1,0,FALSE,2025-11-09
daycare options near me,https://chromaela.com/service-areas-pleasanthill-ga,2,0,2,1,7.9,390,0,0,0,42.55,0,2,0,16,0,3089,5,-1,2,0,FALSE,2025-11-06
wyndham farms daycares,https://chromaela.com/,13,0,45,2,0,0,0,25,5,25.18,0,45,25,0,0,0,6.48,3,20,0,FALSE,2025-11-20
woodchase academy smyrna,https://chromaela.com/,1,0,1,95,8.8,1000,0,0,0,42.91,0,1,0,9,0,8800,95,-95,1,0,FALSE,2025-11-04
guardería cerca de mi,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,14,1.8,110000,0,0,0,57.6,0,1,0,2,0,196900,14,-14,1,0,FALSE,2025-10-31
day care in canton ga,https://chromaela.com/service-areas-cherokee-ga,2,0,3,22,0,0,0,0,0,7.27,0,3,0,0,0,0,52.75,-22,3,0,FALSE,2025-11-06
early academy childcare,,0,0,0,0,0,30,0,8,8,0,0,0,8,0,0,0,0,8,-8,0,FALSE,2025-10-06
learning centers near me,,0,0,0,0,10.1,8100,0,2,8,0,0,0,2,0,20,81405,0,8,-2,0,FALSE,2025-10-08
pleasant hill academy,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,1,9.1,1600,0,0,0,45.28,0,1,0,9,0,14512,1,-1,1,0,FALSE,2025-11-16
dayker cerca de mi,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,3,3,880,0,0,0,37.15,0,1,0,3,0,2596,3,-3,1,0,FALSE,2025-11-16
guarderia cerca de mi,https://chromaela.com/service-areas-pleasanthill-ga,3,0,3,15,1.8,110000,1,3,1,64.86,0,3,2,5,4,196900,16.67,-14,0,-1,FALSE,2025-10-30
montessori preschool,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,4,3.9,18100,0,0,0,52.73,0,1,0,4,0,70318,4,-4,1,0,FALSE,2025-10-30
bethany crossing daycare,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,1.5,-2,4,0,FALSE,2025-11-20
douglasville ga daycare,,0,0,0,0,6.9,880,0,1,92,0,0,0,1,0,7,6037,0,92,-1,0,FALSE,2025-10-15
panorama daycare center,https://chromaela.com/,1,0,1,98,0,50,0,0,0,0,0,1,0,0,0,0,98,-98,1,0,FALSE,2025-10-31
part-time daycare,,0,0,0,0,0,0,0,3,7,0,0,0,3,0,0,0,0,7,-3,0,FALSE,2025-10-06
east cobb pediatricians,https://chromaela.com/post/buyers-guide-best-pediatricians-near-chroma-academy-marietta-ga,1,0,1,62,0,0,0,0,0,0,0,1,0,0,0,0,62,-62,1,0,FALSE,2025-11-13
childcares near me,https://chromaela.com/service-areas-rivergreen-ga,2,0,2,70,5.4,201000,0,0,0,70.29,0,2,0,11,0,1095450,99.5,-70,2,0,FALSE,2025-11-05
aftercare near me,https://chromaela.com/service-areas-tyrone-ga,1,0,1,3,4.3,1300,0,0,0,40.8,0,1,0,4,0,5629,3,-3,1,0,FALSE,2025-11-12
daycare in jonesboro,https://chromaela.com/service-areas-jonesboro-ga,1,0,23,13,6.3,1000,0,16,46,62.6,0,23,16,144,100,6260,31.98,33,7,0,FALSE,2025-11-23
the learning academy,https://chromaela.com/service-areas-cherokee-ga,2,0,2,3,3.1,1600,0,1,9,44.86,0,2,1,6,3,5032,4.5,6,1,0,FALSE,2025-11-12
daycare johns creek,https://chromaela.com/service-areas-johns-creek-ga,2,0,5,15,7.1,210,0,2,46,45.16,0,5,2,35,14,1489,35.8,31,3,0,FALSE,2025-11-23
daycare in alpharetta ga,https://chromaela.com/service-areas-johns-creek-ga,1,0,1,37,12.6,720,0,0,0,43.04,0,1,0,13,0,9036,37,-37,1,0,FALSE,2025-10-29
day care norcross ga,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,42,7.1,260,0,0,0,35.53,0,1,0,7,0,1846,42,-42,1,0,FALSE,2025-10-31
daycare space for rent,https://www.chromaela.com/service-areas-lawrenceville-ga,1,0,1,12,1.6,880,0,0,0,34.13,0,1,0,2,0,1373,12,-12,1,0,FALSE,2025-10-28
daycare tyrone ga,https://chromaela.com/service-areas-tyrone-ga,2,0,2,9,0,0,0,0,0,0,0,2,0,0,0,0,5,-9,2,0,FALSE,2025-11-14
marietta childcare,https://chromaela.com/,1,0,1,50,9.8,880,0,3,46,42.84,0,1,3,10,30,8659,50,-4,-2,0,FALSE,2025-11-07
children academy near me,https://chromaela.com/service-areas-cherokee-ga,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,4,-4,1,0,FALSE,2025-11-06
daycare prices near me,https://chromaela.com/tour-appointment,1,0,2,1,2.6,8100,0,1,4,51.66,0,2,1,5,3,21222,1,3,1,0,FALSE,2025-11-22
early learning academy,https://chromaela.com/,11,0,39,3,5.5,2400,1,18,3,69.21,0,39,17,214,93,13152,7.35,0,21,-1,FALSE,2025-11-23
free childcare near me,,0,0,0,0,3.7,1300,0,1,8,0,0,0,1,0,4,4862,0,8,-1,0,FALSE,2025-10-11
georgia pre k lottery,https://chromaela.com/services-pre-k-lottery,1,0,2,4,5.4,720,0,8,63,43.65,0,2,8,11,43,3895,4,59,-6,0,FALSE,2025-10-30
rainbow daycare near me,https://chromaela.com/tour-appointment,1,0,2,1,2.8,390,0,0,0,37.71,0,2,0,6,0,1108,1,-1,2,0,FALSE,2025-11-20
daycare cerca de mi,https://www.chromaela.com/service-areas-lawrenceville-ga,4,0,4,1,2.8,33100,0,2,5,63.12,0,4,2,11,6,91025,2.75,4,2,0,FALSE,2025-11-23
gift for 2 years old,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,4,1,0,0,0,0,0,0,0,4,0,0,0,0,1,-1,4,0,FALSE,2025-11-23
types of daycare centers,https://chromaela.com/post/types-of-daycare-centers-which-is-right-for-your-family,1,0,1,87,0,50,0,0,0,0,0,1,0,0,0,0,87,-87,1,0,FALSE,2025-11-23
marietta child care,,0,0,0,0,0,0,0,1,98,0,0,0,1,0,0,0,0,98,-1,0,FALSE,2025-09-25
parks in johns creek ga,https://chromaela.com/post/top-5-infant-friendly-parks-in-johns-creek-for-your-babys-first-outings,1,0,3,34,0,1000,0,0,0,7.27,0,3,0,0,0,0,32.67,-34,3,0,FALSE,2025-11-19
preschool marietta,https://chromaela.com/,1,0,1,42,0,0,0,1,54,0,0,1,1,0,0,0,42,12,0,0,FALSE,2025-11-09
academy in mcdonough,,0,0,0,0,0.8,390,0,3,59,0,0,0,3,0,3,328,0,59,-3,0,FALSE,2025-10-01
preschool lawrenceville,https://chromaela.com/service-areas-lawrenceville-ga,1,0,2,20,7.6,110,0,1,89,36.4,0,2,1,15,8,840,19.5,69,1,0,FALSE,2025-11-14
bright lights academy,https://chromaela.com/service-areas-satellite-ga,1,0,1,65,0,390,0,0,0,0,0,1,0,0,0,0,65,-65,1,0,FALSE,2025-10-31
home daycare near me,,0,0,0,0,2.8,18100,0,4,21,0,0,0,4,0,11,51223,0,21,-4,0,FALSE,2025-10-20
day care duluth ga,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,7,-7,1,0,FALSE,2025-11-21
nature daycare near me,https://chromaela.com/tour-appointment,1,0,1,1,5.7,320,0,0,0,35.45,0,1,0,6,0,1814,1,-1,1,0,FALSE,2025-11-20
infant care duluth,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-10-28
alpharetta ga daycare,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,3,80,10.5,590,0,1,84,50.44,0,3,1,32,11,6219,66,4,2,0,FALSE,2025-11-18
sensorimotor substages,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,66,2,18100,0,0,0,49.6,0,1,0,2,0,36200,66,-66,1,0,FALSE,2025-11-13
johns creek ga parks,,0,0,0,0,0,1000,0,1,41,0,0,0,1,0,0,0,0,41,-1,0,FALSE,2025-10-23
daycares in mableton ga,https://chromaela.com/,4,0,7,70,0,0,0,0,0,12.87,0,7,0,0,0,0,63.14,-70,7,0,FALSE,2025-11-22
public preschool near me,,0,0,0,0,3.9,6600,0,2,13,0,0,0,2,0,8,25542,0,13,-2,0,FALSE,2025-09-26
preschool in roswell,https://chromaela.com/service-areas-roswell-ga,1,0,1,30,0,0,0,0,0,0,0,1,0,0,0,0,30,-30,1,0,FALSE,2025-11-09
kla schools of chamblee,https://chromaela.com/,1,0,2,61,3.1,1000,0,1,55,42.6,0,2,1,6,3,3120,61,-6,1,0,FALSE,2025-11-10
movie theater showtimes,,0,0,0,0,1.6,14800,0,1,1,0,0,0,1,0,2,23976,0,1,-1,0,FALSE,2025-10-05
peachtree city daycares,https://chromaela.com/service-areas-tyrone-ga,1,0,1,10,0,0,1,1,18,0,0,1,0,0,0,0,10,8,0,-1,FALSE,2025-11-16
daycare lavonia ga,,0,0,0,0,0,30,0,1,53,0,0,0,1,0,0,0,0,53,-1,0,FALSE,2025-10-20
pre k programs near me,https://chromaela.com/service-areas-jonesboro-ga,3,0,3,7,8.4,6600,0,0,0,58.88,0,3,0,25,0,55506,5.67,-7,3,0,FALSE,2025-11-02
children play group,,0,0,0,0,0,0,0,1,19,0,0,0,1,0,0,0,0,19,-1,0,FALSE,2025-10-13
preschool canton ga,https://chromaela.com/service-areas-rivergreen-ga,2,0,30,1,8.8,70,1,22,1,53.26,0,30,21,263,184,614,5.08,0,8,-1,FALSE,2025-11-22
kindergarten 30047,https://chromaela.com/,3,0,7,37,0,0,0,13,22,12.87,0,7,13,0,0,0,29.25,-15,-6,0,FALSE,2025-11-17
early learning near me,https://chromaela.com/service-areas-jonesboro-ga,1,0,2,1,8.1,390,0,0,0,42.63,0,2,0,16,0,3140,1,-1,2,0,FALSE,2025-11-18
ellenwood academy 7,https://chromaela.com/,1,0,1,26,1.9,110,0,3,27,25.24,0,1,3,2,6,209,26,1,-2,0,FALSE,2025-11-19
early.childhood center,https://chromaela.com/service-areas-pleasanthill-ga,1,0,2,8,0,0,0,0,0,0,0,2,0,0,0,0,8,-8,2,0,FALSE,2025-11-20
preschool duluth ga,https://chromaela.com/service-areas-satellite-ga,3,0,14,23,8.9,50,0,3,66,46.27,0,14,3,125,27,445,13.15,43,11,0,FALSE,2025-11-23
preschool.near me,https://chromaela.com/service-areas-cherokee-ga,2,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,2.5,-1,2,0,FALSE,2025-10-28
east cobb park photos,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-east-cobb-for-your-babys-first-outings,1,0,4,5,0,140,0,0,0,9.17,0,4,0,0,0,0,3.75,-5,4,0,FALSE,2025-11-22
play school near me,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,-1,0,FALSE,2025-10-10
trunk and treat near me,https://chromaela.com/service-areas-tyrone-ga,1,0,1,4,0,74000,0,0,0,0,0,1,0,0,0,0,4,-4,1,0,FALSE,2025-10-30
day care centers near me,https://chromaela.com/service-areas-jonesboro-ga,1,0,1,6,3.5,40500,0,0,0,56,0,1,0,3,0,140535,6,-6,1,0,FALSE,2025-10-27
costco locust grove ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,1,0,FALSE,2025-11-23
child care near me,https://chromaela.com/service-areas-pleasanthill-ga,8,0,25,1,6.6,165000,0,16,1,86.99,0,25,16,166,106,1093950,12.04,0,9,0,FALSE,2025-11-22
hourly childcare near me,https://chromaela.com/service-areas-pleasanthill-ga,2,0,2,10,3.8,1900,0,0,0,46.53,0,2,0,8,0,7163,17,-10,2,0,FALSE,2025-11-03
childcare johns creek ga,,0,0,0,0,5.1,210,0,1,17,0,0,0,1,0,5,1071,0,17,-1,0,FALSE,2025-10-10
child care mcdonough,,0,0,0,0,0,0,0,6,20,0,0,0,6,0,0,0,0,20,-6,0,FALSE,2025-09-28
little apron academy,https://chromaela.com/,1,0,4,84,4.2,390,0,0,0,44.14,0,4,0,17,0,1638,42.25,-84,4,0,FALSE,2025-11-22
daycares mcdonough ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,26,10,0,0,1,21,5,21.55,0,26,20,0,0,0,9.99,-5,5,-1,FALSE,2025-11-21
daycares in duluth,https://chromaela.com/service-areas-pleasanthill-ga,1,0,4,92,5,480,0,3,8,45.92,0,4,3,20,15,2386,60.17,-84,1,0,FALSE,2025-11-11
pleasant hill kinders,,0,0,0,0,0,720,0,1,69,0,0,0,1,0,0,0,0,69,-1,0,FALSE,2025-10-24
high quality daycare,,0,0,0,0,4.9,720,0,2,4,0,0,0,2,0,10,3542,0,4,-2,0,FALSE,2025-09-26
childcare mcdonough,https://chromaela.com/service-areas-mcdonough-ga,1,0,9,12,5.7,1000,0,4,46,55.4,0,9,4,51,23,5710,10.67,34,5,0,FALSE,2025-11-20
preschools roswell ga,,0,0,0,0,0,0,0,3,49,0,0,0,3,0,0,0,0,49,-3,0,FALSE,2025-09-30
jonesboro preschool,https://chromaela.com/service-areas-jonesboro-ga,1,0,2,34,8.6,90,0,5,35,36.04,0,2,5,17,43,778,34,1,-3,0,FALSE,2025-11-15
child care near me jobs,,0,0,0,0,0,0,0,2,9,0,0,0,2,0,0,0,0,9,-2,0,FALSE,2025-10-21
daycares with camera,https://chromaela.com/programs,8,0,17,8,0,0,0,0,0,18.74,0,17,0,0,0,0,8.89,-8,17,0,FALSE,2025-11-17
daycare with camera,https://chromaela.com/,1,0,2,13,6.4,1600,0,0,0,48.23,0,2,0,13,0,10272,11,-13,2,0,FALSE,2025-11-14
toddler play grounds,,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,8,-1,0,FALSE,2025-10-11
pre k academy near me,,0,0,0,0,10.6,110,0,1,7,0,0,0,1,0,11,1167,0,7,-1,0,FALSE,2025-10-21
rhema childcare center,https://chromaela.com/,1,0,1,96,0,70,0,1,59,0,0,1,1,0,0,0,96,-37,0,0,FALSE,2025-11-23
parks in ellenwood,https://chromaela.com/post/top-5-infant-friendly-parks-in-ellenwood-for-your-babys-first-outings,1,0,1,7,0,0,0,7,7,0,0,1,7,0,0,0,7,0,-6,0,FALSE,2025-11-23
daycares lakewood,https://chromaela.com/service-areas-ellenwood-ga,1,0,1,11,0,0,0,0,0,0,0,1,0,0,0,0,11,-11,1,0,FALSE,2025-11-11
pre k 2 programs near me,,0,0,0,0,9,40,0,1,18,27.81,0,0,1,0,9,360,0,18,-1,0,FALSE,2025-10-26
pre k jonesboro ga,https://chromaela.com/service-areas-jonesboro-ga,13,0,87,11,4.9,30,0,72,10,53.55,0,87,72,425,352,147,13.76,-1,15,0,FALSE,2025-11-23
roswell child care,https://chromaela.com/service-areas-roswell-ga,1,0,1,22,0,0,0,1,22,0,0,1,1,0,0,0,22,0,0,0,FALSE,2025-11-09
daycare that has cameras,https://chromaela.com/,1,0,1,7,4.4,40,0,0,0,24.45,0,1,0,4,0,177,7,-7,1,0,FALSE,2025-11-09
daycare johns creek ga,https://chromaela.com/service-areas-johns-creek-ga,1,0,2,18,5.1,210,0,3,14,37.55,0,2,3,10,15,1071,17,-4,-1,0,FALSE,2025-11-22
preschool mommy and me,,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,8,-1,0,FALSE,2025-09-29
preschool lilburn ga,https://chromaela.com/,3,0,8,20,12.8,30,0,11,28,41.87,0,8,11,102,141,384,19.1,8,-3,0,FALSE,2025-11-17
head start near me,https://chromaela.com/service-areas-cherokee-ga,1,0,1,27,4.9,18100,0,0,0,53.88,0,1,0,5,0,89595,27,-27,1,0,FALSE,2025-11-04
daycare jonesboro ga,https://chromaela.com/service-areas-jonesboro-ga,1,0,37,8,0,0,0,10,7,24.23,0,37,10,0,0,0,9.64,-1,27,0,FALSE,2025-11-23
child care organizations,https://chromaela.com/tour-appointment,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,1,0,FALSE,2025-11-21
early learning center,https://chromaela.com/service-areas-lilburn-ga,3,0,5,1,4.5,27100,0,9,1,66.02,0,5,9,23,41,123034,1.75,0,-4,0,FALSE,2025-11-05
daycare saturday near me,,0,0,0,0,2.8,30,0,1,10,0,0,0,1,0,3,84,0,10,-1,0,FALSE,2025-09-28
montessori schools,https://chromaela.com/service-areas-marietta-west-ga,2,0,4,5,4.1,301000,0,1,35,75.47,0,4,1,17,4,1243130,9.5,30,3,0,FALSE,2025-11-11
early head start program,,0,0,0,0,5.9,1600,0,1,4,0,0,0,1,0,6,9472,0,4,-1,0,FALSE,2025-10-16
daycare roswell ga,https://chromaela.com/service-areas-roswell-ga,2,0,12,15,0,0,0,9,22,16.44,0,12,9,0,0,0,25.06,7,3,0,FALSE,2025-11-23
child day care near me,https://chromaela.com/service-areas-ellenwood-ga,1,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,6,-6,1,0,FALSE,2025-11-15
daycare academy near me,https://chromaela.com/service-areas-mcdonough-ga,1,0,2,9,4.7,720,0,0,0,43,0,2,0,9,0,3398,9,-9,2,0,FALSE,2025-11-21
preschool austell ga,https://chromaela.com/service-areas-southcobb-ga,9,0,12,12,0,20,0,6,1,16.44,0,12,6,0,0,0,10.42,-11,6,0,FALSE,2025-11-13
childcare in duluth,https://chromaela.com/service-areas-pleasanthill-ga,1,0,9,1,0,10,0,11,1,15.23,0,9,11,0,0,0,1,0,-2,0,FALSE,2025-11-22
child care in georgia,https://chromaela.com/,1,0,1,49,0,0,0,0,0,0,0,1,0,0,0,0,49,-49,1,0,FALSE,2025-11-02
5 star daycares near me,https://chromaela.com/service-areas-marietta-west-ga,1,0,2,6,6.9,590,0,0,0,43.84,0,2,0,14,0,4059,6,-6,2,0,FALSE,2025-11-20
cheap childcare near me,,0,0,0,0,4.3,1000,0,3,13,0,0,0,3,0,13,4270,0,13,-3,0,FALSE,2025-10-02
preschool alpharetta,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,2,92,11.7,320,0,0,0,43.46,0,2,0,23,0,3747,92,-92,2,0,FALSE,2025-11-18
daycare powder springs,https://www.chromaela.com/home-690714,2,0,3,73,6.1,260,0,0,0,42.05,0,3,0,18,0,1573,83.25,-73,3,0,FALSE,2025-11-13
child care duluth,https://chromaela.com/service-areas-pleasanthill-ga,1,0,2,1,0,0,0,0,0,4.58,0,2,0,0,0,0,1,-1,2,0,FALSE,2025-11-18
west cobb academy,https://chromaela.com/service-areas-marietta-west-ga,1,0,13,1,0,590,0,1,41,16.97,0,13,1,0,0,0,3.94,40,12,0,FALSE,2025-11-23
day care learning center,,0,0,0,0,6.1,1600,0,1,5,0,0,0,1,0,6,9824,0,5,-1,0,FALSE,2025-10-08
preschool roswell ga,https://chromaela.com/,1,0,2,24,6.5,260,0,2,28,39.72,0,2,2,13,13,1695,24,4,0,0,FALSE,2025-11-14
pre-k programs 30047,https://chromaela.com/lilburn,2,0,2,37,0,0,0,2,37,0,0,2,2,0,0,0,27,0,0,0,FALSE,2025-11-17
kids academy cromer,,0,0,0,0,0,0,0,1,94,0,0,0,1,0,0,0,0,94,-1,0,FALSE,2025-10-05
best daycares near me,https://chromaela.com/service-areas-mcdonough-ga,4,0,10,49,7.7,14800,0,3,4,70.26,0,10,3,77,23,114404,18,-45,7,0,FALSE,2025-11-21
pre kinder cerca de mí,https://chromaela.com/service-areas-pleasanthill-ga,2,3,10,3,0,0,0,0,0,10.04,0,7,0,0,0,0,4.67,-3,10,3,FALSE,2025-11-19
overnight daycare,https://chromaela.com/service-areas-marietta-west-ga,1,0,1,30,2.2,2400,0,0,0,40.52,0,1,0,2,0,5304,30,-30,1,0,FALSE,2025-11-04
an apple a day...,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,-2,1,0,FALSE,2025-10-29
prek program near me,,0,0,0,0,8,8100,0,1,1,0,0,0,1,0,8,64557,0,1,-1,0,FALSE,2025-10-10
child daycare near me,,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,8,-1,0,FALSE,2025-09-27
daycare in roswell,https://chromaela.com/service-areas-roswell-ga,1,0,9,18,0,0,0,7,20,15.23,0,9,7,0,0,0,16,2,2,0,FALSE,2025-11-22
infant playground,,0,0,0,0,1.4,1300,0,1,2,0,0,0,1,0,1,1755,0,2,-1,0,FALSE,2025-09-29
toddler toys for boys,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,5,-5,1,0,FALSE,2025-11-20
duluth premier academy,https://chromaela.com/careers,15,0,81,23,9.4,140,0,9,12,63.62,0,81,9,761,85,1315,11.71,-11,72,0,FALSE,2025-11-19
preschool in canton,https://chromaela.com/service-areas-rivergreen-ga,1,0,20,1,7,320,0,24,1,56.92,0,20,24,141,169,2253,1,0,-4,0,FALSE,2025-11-22
playground for babies,,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,3,-1,0,FALSE,2025-10-09
day care roswell ga,https://chromaela.com/service-areas-roswell-ga,1,0,2,20,6.1,480,0,3,82,42.31,0,2,3,12,18,2938,20,62,-1,0,FALSE,2025-11-02
pre schools near me,https://chromaela.com/service-areas-jonesboro-ga,2,0,3,5,4.4,90500,0,4,6,68.17,0,3,4,13,18,396390,3,1,-1,0,FALSE,2025-11-18
pre k in stockbridge ga,,0,0,0,0,6.4,30,0,1,88,0,0,0,1,0,6,191,0,88,-1,0,FALSE,2025-10-18
afterschool care program,,0,0,0,0,4.3,720,0,1,6,0,0,0,1,0,4,3118,0,6,-1,0,FALSE,2025-09-27
kids memberships near me,https://chromaela.com/tour-appointment,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-21
daycare mableton ga,https://chromaela.com/service-areas-southcobb-ga,1,0,1,25,6.3,170,0,0,0,32.98,0,1,0,6,0,1074,25,-25,1,0,FALSE,2025-11-17
preschool marietta ga,http://www.chromaela.com/,2,0,3,9,9.7,260,0,2,43,44.26,0,3,2,29,19,2512,10,34,1,0,FALSE,2025-11-18
pre k mcdonough ga,https://chromaela.com/,2,0,9,7,7.2,70,0,9,5,43.96,0,9,9,65,65,507,16.4,-2,0,0,FALSE,2025-11-10
family center near me,https://chromaela.com/tour-appointment,1,0,1,1,4.7,1000,0,0,0,39.92,0,1,0,5,0,4670,1,-1,1,0,FALSE,2025-11-22
